,Artists,artist_uri,Songs,danceability,energy,genre
40,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Problem / Regulate - BBC Live Lounge / 2015,0.518,0.7,"['irish singer-songwriter', 'pop']"
41,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Whole Lotta Love - The Dermot O'Leary Saturday Sessions Show / BBC Radio 2 / 2015,0.549,0.474,"['irish singer-songwriter', 'pop']"
42,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Do I Wanna Know? - Live At the BBC / 2015,0.435,0.209,"['irish singer-songwriter', 'pop']"
43,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Lay Me Down - BBC Live Lounge / 2015,0.639,0.788,"['irish singer-songwriter', 'pop']"
44,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Peggy Sang The Blues,0.585,0.768,['folk punk']
45,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,I Still Believe,0.618,0.85,['folk punk']
46,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Rivers,0.279,0.498,['folk punk']
47,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,English Curse,0.709,0.302,['folk punk']
48,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,If Ever I Stray,0.501,0.695,['folk punk']
49,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Glory Hallelujah,0.622,0.584,['folk punk']
50,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Eulogy,0.284,0.108,['folk punk']
51,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,I Am Disappeared,0.455,0.794,['folk punk']
52,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,One Foot Before The Other,0.552,0.898,['folk punk']
53,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Wessex Boy,0.588,0.588,['folk punk']
54,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Nights Become Days,0.442,0.295,['folk punk']
55,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Redemption,0.658,0.678,['folk punk']
56,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Song For Eva Mae,0.51,0.368,['folk punk']
57,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,Wanderlust,0.464,0.532,['folk punk']
58,Frank Turner,spotify:artist:27M9shmwhIjRo7WntpT9Rp,"Balthazar, Impresario",0.354,0.262,['folk punk']
